time, Quad.Est.E.Pos, Quad.Est.S.Z
1.795028,0.184815,0.307455
1.800028,0.185292,0.307584
1.805028,0.164074,0.304933
1.810029,0.164509,0.305052
1.815029,0.165188,0.305232
1.820029,0.165639,0.305352
1.825029,0.166320,0.305534
1.830029,0.166769,0.305655
1.835030,0.167449,0.305838
1.840030,0.167904,0.305961
1.845030,0.168581,0.306146
1.850030,0.169033,0.306269
1.855031,0.169708,0.306456
1.860031,0.170159,0.306581
1.865031,0.170835,0.306769
1.870031,0.171284,0.306895
1.875032,0.171958,0.307085
1.880032,0.172404,0.307213
1.885032,0.173077,0.307405
1.890032,0.173522,0.307533
1.895033,0.174193,0.307727
1.900033,0.174640,0.307856
1.905033,0.154516,0.305203
1.910033,0.154731,0.305322
1.915033,0.155040,0.305502
1.920034,0.155246,0.305622
1.925034,0.155555,0.305803
1.930034,0.155761,0.305924
1.935034,0.156069,0.306107
1.940035,0.156274,0.306230
1.945035,0.156581,0.306414
1.950035,0.156785,0.306538
1.955035,0.157090,0.306724
1.960036,0.157297,0.306849
1.965036,0.157603,0.307037
1.970036,0.157810,0.307163
1.975036,0.158117,0.307353
1.980036,0.158333,0.307480
1.985037,0.158643,0.307671
1.990037,0.158831,0.307799
1.995037,0.159138,0.307993
2.000037,0.159360,0.308122
2.005037,0.178058,0.305467
2.010037,0.178188,0.305586
2.015036,0.178412,0.305765
2.020036,0.178567,0.305885
2.025036,0.178794,0.306066
2.030035,0.178947,0.306188
2.035035,0.179178,0.306370
2.040035,0.179333,0.306493
2.045034,0.179567,0.306677
2.050034,0.179725,0.306800
2.055033,0.179962,0.306986
2.060033,0.180123,0.307111
2.065033,0.180364,0.307299
2.070032,0.180520,0.307424
2.075032,0.180762,0.307614
2.080032,0.180922,0.307741
2.085031,0.181167,0.307932
2.090031,0.181336,0.308060
2.095031,0.181584,0.308253
2.100030,0.181748,0.308382
2.105030,0.152143,0.305726
2.110029,0.152425,0.305844
2.115029,0.152847,0.306023
2.120029,0.153139,0.306143
2.125028,0.153559,0.306324
2.130028,0.153841,0.306445
2.135028,0.154262,0.306628
2.140027,0.154547,0.306750
2.145027,0.154977,0.306934
2.150027,0.155274,0.307057
2.155026,0.155713,0.307243
2.160026,0.156002,0.307367
2.165025,0.156442,0.307555
2.170025,0.156791,0.307680
2.175025,0.157251,0.307869
2.180024,0.157476,0.307996
2.185024,0.157920,0.308187
2.190024,0.158159,0.308315
2.195023,0.158592,0.308507
2.200023,0.158978,0.308636
2.205023,0.176591,0.305978
2.210022,0.176839,0.306097
2.215022,0.177314,0.306276
2.220021,0.177653,0.306396
2.225021,0.178122,0.306576
2.230021,0.178387,0.306697
2.235020,0.178876,0.306879
2.240020,0.179207,0.307001
2.245020,0.179685,0.307185
2.250019,0.180024,0.307308
2.255019,0.180517,0.307493
2.260019,0.180939,0.307618
2.265018,0.181471,0.307805
2.270018,0.181820,0.307930
2.275017,0.182354,0.308119
2.280017,0.182601,0.308246
2.285017,0.183114,0.308436
2.290016,0.183405,0.308564
2.295016,0.183910,0.308756
2.300016,0.184352,0.308885
2.305015,0.216998,0.306226
2.310015,0.217490,0.306344
2.315015,0.218004,0.306523
2.320014,0.218402,0.306642
2.325014,0.218902,0.306823
2.330014,0.219226,0.306943
2.335013,0.219728,0.307125
2.340013,0.220067,0.307247
2.345012,0.220560,0.307430
2.350012,0.220867,0.307553
2.355012,0.221333,0.307739
2.360011,0.221655,0.307863
2.365011,0.222121,0.308050
2.370011,0.222386,0.308175
2.375010,0.222834,0.308363
2.380010,0.223205,0.308490
2.385010,0.223664,0.308680
2.390009,0.224226,0.308807
2.395009,0.224726,0.309000
2.400008,0.225099,0.309128
2.405008,0.221191,0.306467
2.410008,0.221589,0.306586
2.415007,0.222253,0.306764
2.420007,0.222736,0.306883
2.425007,0.223395,0.307063
2.430006,0.223780,0.307184
2.435006,0.224461,0.307366
2.440006,0.224912,0.307487
2.445005,0.225602,0.307671
2.450005,0.226048,0.307793
2.455004,0.226720,0.307978
2.460004,0.227190,0.308102
2.465004,0.227874,0.308289
2.470003,0.228345,0.308414
2.475003,0.229037,0.308602
2.480003,0.229508,0.308728
2.485002,0.230205,0.308918
2.490002,0.230613,0.309046
2.495002,0.231303,0.309238
2.500001,0.231776,0.309366
2.505001,0.176777,0.306703
2.510000,0.177137,0.306822
2.515000,0.177501,0.307000
2.520000,0.177692,0.307119
2.524999,0.178064,0.307299
2.529999,0.178369,0.307419
2.534999,0.178723,0.307601
2.539998,0.178945,0.307722
2.544998,0.179313,0.307905
2.549998,0.179553,0.308028
2.554997,0.179914,0.308213
2.559997,0.180151,0.308336
2.564996,0.180512,0.308523
2.569996,0.180710,0.308648
2.574996,0.181061,0.308836
2.579995,0.181422,0.308962
2.584995,0.181803,0.309152
2.589995,0.182043,0.309279
2.594994,0.182423,0.309470
2.599994,0.182641,0.309599
2.604994,0.199655,0.306934
2.609993,0.199892,0.307052
2.614993,0.200301,0.307230
2.619992,0.200587,0.307350
2.624992,0.200997,0.307529
2.629992,0.201240,0.307649
2.634991,0.201662,0.307831
2.639991,0.201934,0.307952
2.644991,0.202368,0.308135
2.649990,0.202632,0.308257
2.654990,0.203034,0.308442
2.659990,0.203362,0.308565
2.664989,0.203793,0.308752
2.669989,0.204024,0.308876
2.674989,0.204440,0.309064
2.679988,0.204720,0.309190
2.684988,0.205137,0.309380
2.689987,0.205398,0.309507
2.694987,0.205811,0.309698
2.699987,0.205984,0.309826
2.704986,0.211968,0.307160
2.709986,0.212266,0.307278
2.714986,0.212694,0.307456
2.719985,0.212984,0.307575
2.724985,0.213412,0.307754
2.729985,0.213681,0.307875
2.734984,0.214115,0.308056
2.739984,0.214404,0.308177
2.744983,0.214837,0.308359
2.749983,0.215121,0.308482
2.754983,0.215548,0.308666
2.759982,0.215828,0.308789
2.764982,0.216253,0.308975
2.769982,0.216509,0.309100
2.774981,0.216926,0.309288
2.779981,0.217226,0.309413
2.784981,0.217647,0.309603
2.789980,0.218011,0.309730
2.794980,0.218446,0.309921
2.799979,0.218706,0.310049
2.804979,0.235189,0.307381
2.809979,0.235575,0.307499
2.814978,0.236106,0.307677
2.819978,0.236439,0.307795
2.824978,0.236975,0.307975
2.829977,0.237339,0.308095
2.834977,0.237874,0.308275
2.839977,0.238234,0.308397
2.844976,0.238766,0.308579
2.849976,0.239122,0.308701
2.854975,0.239658,0.308885
2.859975,0.240017,0.309009
2.864975,0.240554,0.309194
2.869974,0.240913,0.309319
2.874974,0.241451,0.309506
2.879974,0.241809,0.309632
2.884973,0.242348,0.309821
2.889973,0.242722,0.309947
2.894973,0.243264,0.310138
2.899972,0.243625,0.310266
2.904972,0.215175,0.307597
2.909971,0.215306,0.307715
2.914971,0.215469,0.307892
2.919971,0.215568,0.308011
2.924970,0.215733,0.308190
2.929970,0.215834,0.308310
2.934970,0.216004,0.308490
2.939969,0.216116,0.308611
2.944969,0.216290,0.308794
2.949969,0.216416,0.308916
2.954968,0.216601,0.309100
2.959968,0.216723,0.309223
2.964967,0.216908,0.309408
2.969967,0.217028,0.309533
2.974967,0.217215,0.309720
2.979966,0.217338,0.309845
2.984966,0.217527,0.310034
2.989966,0.217638,0.310161
2.994965,0.217827,0.310351
2.999965,0.217976,0.310479
3.004965,0.250289,0.307808
3.009964,0.250397,0.307926
3.014964,0.250565,0.308103
3.019964,0.250663,0.308222
3.024963,0.250839,0.308401
3.029963,0.250970,0.308520
3.034962,0.251149,0.308701
3.039962,0.251268,0.308821
3.044962,0.251453,0.309004
3.049961,0.251578,0.309125
3.054961,0.251767,0.309309
3.059961,0.251890,0.309432
3.064960,0.252082,0.309618
3.069960,0.252214,0.309742
3.074960,0.252409,0.309929
3.079959,0.252542,0.310054
3.084959,0.252741,0.310243
3.089958,0.252879,0.310369
3.094958,0.253080,0.310560
3.099958,0.253214,0.310687
3.104957,0.226044,0.308015
3.109957,0.226060,0.308132
3.114957,0.226116,0.308309
3.119956,0.226139,0.308428
